ISO,round,region,country_x,year,status,reports,datasets,link
DOM,MICS2,Latin America and Caribbean,Dominican Republic,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Latin%20America%20and%20Caribbean/Dominican%20Republic/2000/Datasets/Dominican%20Republic%202000%20MICS_Datasets.zip
SLV,MICS5,Latin America and Caribbean,El Salvador,2014,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/El%20Salvador/2014/Datasets/El%20Salvador_MICS5_Datasets.zip
GNQ,MICS2,West and Central Africa,Equatorial Guinea,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Equatorial%20Guinea/2000/Datasets/Equatorial%20Guinea%202000%20MICS_Datasets.zip
CIV,MICS5,West and Central Africa,C̫te d'Ivoire,2016,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2016/Datasets/C%C3%B4te%20d%27Ivoire_MICS5_Datasets.zip
CIV,MICS3,West and Central Africa,C̫te d'Ivoire,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2006/Datasets/Cote%20d%27Ivoire%202006%20MICS_Datasets.zip
CIV,MICS2,West and Central Africa,C̫te d'Ivoire,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2000/Datasets/Cote%20d%27Ivoire%202000%20MICS_Datasets.zip
KAZ,MICS5,Europe and Central Asia,Kazakhstan,2015,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Kazakhstan/2015/Datasets/Kazakhstan_MICS5_Datasets.zip
KGZ,MICS6,Europe and Central Asia,Kyrgyzstan,2018,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Kyrgyzstan/2018/Datasets/Kyrgyz%20Republic%20MICS6%20Datasets.zip
LAO,MICS6,East Asia and the Pacific,Lao People's Democratic Republic,2017,Completed,Survey findings,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2017/Datasets/Lao%20PDR%20MICS6%20Datasets.zip
LAO,MICS4,East Asia and the Pacific,Lao People's Democratic Republic,2011-2012,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2011-2012/Datasets/Lao%202012%20MICS_Datasets.zip
LAO,MICS3,East Asia and the Pacific,Lao People's Democratic Republic,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2006/Datasets/Lao%20PDR%202006%20MICS_Datasets.zip
